id,city,state_id,state_name,county_name,latitude,longitude,population,density,timezone
1840034016,New York,NY,New York,New York,40.6943,-73.9249,19354922,11084,America/New_York
1840020491,Los Angeles,CA,California,Los Angeles,34.1139,-118.4068,12815475,3295,America/Los_Angeles
1840000494,Chicago,IL,Illinois,Cook,41.8373,-87.6861,8675982,4613,America/Chicago
1840015149,Miami,FL,Florida,Miami-Dade,25.784,-80.2102,6381966,4971,America/New_York
1840019440,Dallas,TX,Texas,Dallas,32.7937,-96.7662,5733259,1523,America/Chicago
1840000673,Philadelphia,PA,Pennsylvania,Philadelphia,40.0076,-75.134,5637884,4548,America/New_York
1840020925,Houston,TX,Texas,Harris,29.7868,-95.3905,5446468,1402,America/Chicago
1840006060,Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,5289420,4382,America/New_York
1840013660,Atlanta,GA,Georgia,Fulton,33.7626,-84.4228,5228750,1407,America/New_York
1840000455,Boston,MA,Massachusetts,Suffolk,42.3188,-71.0846,4637537,5471,America/New_York
1840020568,Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0891,4081849,1212,America/Phoenix
1840021117,Seattle,WA,Washington,King,47.6211,-122.3244,3643765,3337,America/Los_Angeles
1840021543,San Francisco,CA,California,San Francisco,37.7562,-122.443,3603761,7279,America/Los_Angeles
1840003971,Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3522206,1873,America/Detroit
1840021990,San Diego,CA,California,San Diego,32.8312,-117.1226,3210314,1687,America/Los_Angeles
1840007830,Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2926757,3019,America/Chicago
1840015982,Tampa,FL,Florida,Hillsborough,27.9937,-82.4454,2804240,1312,America/New_York
1840018789,Denver,CO,Colorado,Denver,39.7621,-104.8759,2787266,1774,America/Denver
1840034030,Brooklyn,NY,New York,Kings,40.6501,-73.9496,2629150,14606,America/New_York
1840034002,Queens,NY,New York,Queens,40.7498,-73.7976,2333054,8247,America/New_York
1840001592,Baltimore,MD,Maryland,Baltimore (city),39.3051,-76.6144,2170504,2917,America/New_York
