chemical_name,CAS_or_EDF_Substance_ID,inhalation_cancer_potency,inhalation_cancer_potency_units,inhalation_cancer_potency_source,inhalation_reference_concentration,inhalation_reference_concentration_units,inhalation_reference_concentration_source,national_ambient_air_quality_std,national_ambient_air_quality_std_units,national_ambient_air_quality_std_source,chemspider_id,Nat_Agg_PV
NITROGEN DIOXIDE,10102-44-0,,Unknown,Unknown,20,ug/m3,OEHHA-CREL,100,"ug/m3, 1 yr",NAAQS,http://www.chemspider.com/ImagesHandler.ashx?id=2297499&w=250&h=250,Unknown
"4,4'-METHYLENEBIS(2-CHLOROANILINE)",101-14-4,0.00043,[ug/m3]-1,OEHHA-TCD,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=4447496&w=250&h=250,"1,000,000 - 10,000,000 lb"
"1,1'-METHYLENEBIS(4-ISOCYANATOBENZENE)",101-68-8,,Unknown,Unknown,0.7,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=64886785&w=250&h=250,"750,000,000 - 1,000,000,000 lb"
CAPROLACTAM,105-60-2,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7480&w=250&h=250,"1,000,000,000 - 5,000,000,000 lb"
"2,4-DIMETHYLPHENOL",105-67-9,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=21432015&w=250&h=250,"10,000,000 - 50,000,000 lb"
SODIUM BICHROMATE,10588-01-9,,Unknown,Unknown,0.2,ug/m3,OEHHA-CREL,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=23723&w=250&h=250,"100,000,000 - 250,000,000 lb"
CHLORAMINE,10599-90-3,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=23735&w=250&h=250,Unknown
CARBENDAZIM,10605-21-7,6.82857142857143E-07,[ug/m3]-1,OPP-CAN,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=23741&w=250&h=250,Unknown
P-XYLENE,106-42-3,,Unknown,Unknown,200,ug/m3,OEHHA-CREL,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7521&w=250&h=250,"5,000,000,000 - 10,000,000,000 lb"
P-CRESOL,106-44-5,,Unknown,Unknown,4,ug/m3,OEHHA-CREL,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=13839082&w=250&h=250,"50,000,000 - 100,000,000 lb"
"1,4-DICHLOROBENZENE",106-46-7,1.1E-05,[ug/m3]-1,OEHHA-TCD,800,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=13866817&w=250&h=250,"50,000,000 - 100,000,000 lb"
P-PHENYLENEDIAMINE,106-50-3,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=107378&w=250&h=250,Withheld
COKE OVEN EMISSIONS,1066,0.00062,[ug/m3]-1,OEHHA-TCD,,Unknown,Unknown,,Unknown,Unknown,https://www.cancer.gov/PublishedContent/Images/images/causes/substances/coke-oven-emissions.__v50023345.jpg,Unknown
"1,2-BUTYLENE OXIDE",106-88-7,,Unknown,Unknown,20,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7546&w=250&h=250,Withheld
EPICHLOROHYDRIN,106-89-8,2.3E-05,[ug/m3]-1,OEHHA-TCD,3,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=13837112&w=250&h=250,"250,000,000 - 500,000,000 lb"
"1,2-DIBROMOETHANE",106-93-4,7.1E-05,[ug/m3]-1,OEHHA-TCD,0.8,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=15231178&w=250&h=250,Withheld
"1,3-BUTADIENE",106-99-0,0.00017,[ug/m3]-1,OEHHA-TCD,20,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=556946&w=250&h=250,"1,000,000,000 - 5,000,000,000 lb"
"1,2-DICHLOROETHANE",107-06-2,2.1E-05,[ug/m3]-1,OEHHA-TCD,400,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=13837650&w=250&h=250,"20,000,000,000 - 30,000,000,000 lb"
ETHYLENEDIAMINE,107-15-3,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=13835550&w=250&h=250,"100,000,000 - 250,000,000 lb"
GLYPHOSATE,1071-83-6,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=3376&w=250&h=250,Unknown
ETHYLENE GLYCOL,107-21-1,,Unknown,Unknown,400,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=13835235&w=250&h=250,"5,000,000,000 - 10,000,000,000 lb"
CYANIDE COMPOUNDS,1073,,Unknown,Unknown,0.003,mg/m3,TRI,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=5755&w=250&h=250,Unknown
CHLOROMETHYL METHYL ETHER,107-30-2,0.00069,[ug/m3]-1,OEHHA-TCD,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=13852893&w=250&h=250,Withheld
DIBENZOFURANS (CHLORINATED),1080,,Unknown,Unknown,4E-05,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=551&w=250&h=250,Unknown
VINYL ACETATE,108-05-4,,Unknown,Unknown,200,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7616&w=250&h=250,"1,000,000,000 - 5,000,000,000 lb"
METHYL ISOBUTYL KETONE,108-10-1,,Unknown,Unknown,3,mg/m3,IRIS,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7621&w=250&h=250,"100,000,000 - 250,000,000 lb"
MALEIC ANHYDRIDE,108-31-6,,Unknown,Unknown,0.7,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7635&w=250&h=250,"500,000,000 - 750,000,000 lb"
M-XYLENE,108-38-3,,Unknown,Unknown,200,ug/m3,OEHHA-CREL,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7641&w=250&h=250,"250,000,000 - 500,000,000 lb"
M-CRESOL,108-39-4,,Unknown,Unknown,4,ug/m3,OEHHA-CREL,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=21105871&w=250&h=250,"50,000,000 - 100,000,000 lb"
MESITYLENE,108-67-8,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=2015220&w=250&h=250,"1,000,000 - 10,000,000 lb"
TOLUENE,108-88-3,,Unknown,Unknown,300,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=1108&w=250&h=250,"10,000,000,000 - 20,000,000,000 lb"
CYCLOHEXYLAMINE,108-91-8,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7677&w=250&h=250,"10,000,000 - 50,000,000 lb"
CYCLOHEXANONE,108-94-1,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7679&w=250&h=250,"1,000,000,000 - 5,000,000,000 lb"
PHENOL,108-95-2,,Unknown,Unknown,200,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=971&w=250&h=250,"1,000,000,000 - 5,000,000,000 lb"
MALONONITRILE,109-77-3,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=13884495&w=250&h=250,"500,000 - 1,000,000 lb"
ETHYLENE GLYCOL MONOMETHYL ETHER,109-86-4,,Unknown,Unknown,60,ug/m3,OEHHA2003_CREL_UG_M3,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=4576323&w=250&h=250,"1,000,000 - 10,000,000 lb"
FURAN,110-00-9,,Unknown,Unknown,,Unknown,Unknown,,Unknown,Unknown,http://www.chemspider.com/ImagesHandler.ashx?id=7738&w=250&h=250,Withheld
